T26,Population employed in research and development (R&D),,,,,
203,Czechia,2017,R & D personnel: Technicians - total (number in full-time equivalent),20826.4400,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2017,R & D personnel: Technicians - women (number in full-time equivalent),5917.7870,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),4612.4720,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2005,R & D personnel: Total (number in full-time equivalent),33478.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2005,R & D personnel: Researchers - total (number in full-time equivalent),10411.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2005,R & D personnel: Technicians - total (number in full-time equivalent),1510.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),21557.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2009,R & D personnel: Total (number in full-time equivalent),34820.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2009,R & D personnel: Researchers - total (number in full-time equivalent),12470.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2009,R & D personnel: Technicians - total (number in full-time equivalent),1843.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),20507.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,R & D personnel: Total (number in full-time equivalent),2876.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,R & D personnel: Researchers - total (number in full-time equivalent),1310.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,R & D personnel: Researchers - women (number in full-time equivalent),114.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,R & D personnel: Technicians - total (number in full-time equivalent),703.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,R & D personnel: Technicians - women (number in full-time equivalent),112.0000,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),863.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Total (number in full-time equivalent),43498.5670,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Researchers - total (number in full-time equivalent),28179.0110,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Researchers - women (number in full-time equivalent),8112.7440,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Technicians - total (number in full-time equivalent),10781.4940,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Technicians - women (number in full-time equivalent),21508.4390,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),4538.0620,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),2534.4890,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2010,R & D personnel: Total (number in full-time equivalent),56623.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2010,R & D personnel: Researchers - total (number in full-time equivalent),37435.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2010,R & D personnel: Researchers - women (number in full-time equivalent),11654.2000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2010,R & D personnel: Technicians - total (number in full-time equivalent),12556.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
208,Denmark,2010,R & D personnel: Technicians - women (number in full-time equivalent),19155.0500,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
