T10,Expenditure on health,,,,,
191,Croatia,2005,Domestic general government health expenditure (% of total government expenditure),12.5491,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2010,Domestic general government health expenditure (% of total government expenditure),14.0803,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2015,Domestic general government health expenditure (% of total government expenditure),11.6670,Break in the time series.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2016,Domestic general government health expenditure (% of total government expenditure),11.9444,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
191,Croatia,2017,Domestic general government health expenditure (% of total government expenditure),12.4076,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2000,Current health expenditure (% of GDP),6.5819,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2005,Current health expenditure (% of GDP),8.7553,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2010,Current health expenditure (% of GDP),10.6881,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2015,Current health expenditure (% of GDP),12.8140,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2016,Current health expenditure (% of GDP),12.2178,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2017,Current health expenditure (% of GDP),11.7113,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2000,Domestic general government health expenditure (% of total government expenditure),10.8023,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2005,Domestic general government health expenditure (% of total government expenditure),11.6676,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2010,Domestic general government health expenditure (% of total government expenditure),13.8658,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2015,Domestic general government health expenditure (% of total government expenditure),18.2456,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2016,Domestic general government health expenditure (% of total government expenditure),17.3054,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
192,Cuba,2017,Domestic general government health expenditure (% of total government expenditure),15.8750,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2000,Current health expenditure (% of GDP),5.3080,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2005,Current health expenditure (% of GDP),5.4358,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2010,Current health expenditure (% of GDP),6.2793,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2015,Current health expenditure (% of GDP),6.8090,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2016,Current health expenditure (% of GDP),6.7887,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2017,Current health expenditure (% of GDP),6.6846,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2000,Domestic general government health expenditure (% of total government expenditure),6.3317,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2005,Domestic general government health expenditure (% of total government expenditure),5.7413,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2010,Domestic general government health expenditure (% of total government expenditure),7.1324,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2015,Domestic general government health expenditure (% of total government expenditure),7.0502,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2016,Domestic general government health expenditure (% of total government expenditure),7.5213,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
196,Cyprus,2017,Domestic general government health expenditure (% of total government expenditure),7.5817,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2000,Current health expenditure (% of GDP),5.7176,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2005,Current health expenditure (% of GDP),6.3810,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2010,Current health expenditure (% of GDP),6.9281,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2015,Current health expenditure (% of GDP),7.2428,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2016,Current health expenditure (% of GDP),7.1496,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2017,Current health expenditure (% of GDP),7.2313,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2000,Domestic general government health expenditure (% of total government expenditure),12.3807,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2005,Domestic general government health expenditure (% of total government expenditure),12.8647,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2010,Domestic general government health expenditure (% of total government expenditure),13.2350,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
203,Czechia,2015,Domestic general government health expenditure (% of total government expenditure),14.2832,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
